"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","STATUS"
"a8k16000000g0NlAAI","100023104404W400","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000fymTAAQ","100132505001W400","Y","0.092","0","09-MAY-18","Item Updated"
"a8k16000000g0UMAAY","1D0101704906W400","Y","0.25107","1.62909090909090909090909090909090909091","09-MAY-18","Item Updated"
"a8k16000000fyodAAA","100031905006W400","Y","0.12077","1.45818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000fygvAAA","100103605107W400","Y","0.42618","0","10-MAY-18","Item Updated"
"a8k16000000fyoXAAQ","100110705006W400","Y","0.32281","0","10-MAY-18","Item Updated"
"a8k16000000fzunAAA","100142505205W400","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fyoDAAQ","100122905001W402","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fzJsAAI","111050105020W300","Y","0.1555","0","10-MAY-18","Item Updated"
"a8k16000000g04qAAA","141142704927W303","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyLUAAY","191090305027W302","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000g0KkAAI","191162505027W300","Y","0.2323","0","09-MAY-18","Item Updated"
"a8k16000000fzAuAAI","111100904826W302","Y","0.41139","0","09-MAY-18","Item Updated"
"a8k16000000g0jPAAQ","111020704825W300","Y","0.28587","2.84636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000g08dAAA","111071105027W300","Y","0.1383","4.30454545454545454545454545454545454545","10-MAY-18","Item Updated"
"a8k16000000g0S8AAI","111022504925W305","Y","0.2775","2.27636363636363636363636363636363636364","10-MAY-18","Item Updated"
"a8k16000000fxk0AAA","121073604824W300","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fyIqAAI","121133504824W302","Y","0","2.34727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k16000000fxbrAAA","111040205025W300","Y","0.77922","0","10-MAY-18","Item Updated"
"a8k16000000fzItAAI","111071705122W300","Y","0.23225","3.08454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fzUZAAY","111132705123W302","Y","0.0023","0","10-MAY-18","Item Updated"
"a8k16000000fz5dAAA","111113204819W300","Y","0.1323","0","03-MAY-18","Item Updated"
"a8k16000000fzRPAAY","111071904819W300","Y","0.04037","0","09-MAY-18","Item Updated"
